-----------------------------------------
Search for recursive extensions of: P10
Maximal allowed extension order p: 100
Maximal allowed recursion depth: 6
-----------------------------------------
RULE: 0  10
RULE: 1  10 11 
RULE: 2  10 11 20 
RULE: 3  10 11 20 40 
RULE: 4  10 11 20 40 80 
RULE: 3  10 11 20 80 
RULE: 2  10 11 40 
RULE: 3  10 11 40 60 
RULE: 2  10 11 60 
RULE: 3  10 11 60 80 
RULE: 2  10 11 80 
RULE: 3  10 11 80 100 
RULE: 2  10 11 100 
RULE: 1  10 20 
RULE: 2  10 20 31 
RULE: 3  10 20 31 60 
RULE: 2  10 20 60 
RULE: 3  10 20 60 91 
RULE: 2  10 20 91 
RULE: 1  10 31 
RULE: 2  10 31 40 
RULE: 3  10 31 40 80 
RULE: 2  10 31 80 
RULE: 1  10 40 
RULE: 2  10 40 51 
RULE: 3  10 40 51 100 
RULE: 2  10 40 100 
RULE: 1  10 51 
RULE: 2  10 51 60 
RULE: 1  10 60 
RULE: 2  10 60 71 
RULE: 1  10 71 
RULE: 2  10 71 80 
RULE: 1  10 80 
RULE: 2  10 80 91 
RULE: 1  10 91 
RULE: 2  10 91 100 
RULE: 1  10 100 
