-----------------------------------------
Search for recursive extensions of: P1
Maximal allowed extension order p: 100
Maximal allowed recursion depth: 6
-----------------------------------------
RULE: 0  1
RULE: 1  1 2 
RULE: 2  1 2 6 
RULE: 3  1 2 6 10 
RULE: 4  1 2 6 10 16 
RULE: 5  1 2 6 10 16 68 
RULE: 4  1 2 6 10 18 
RULE: 5  1 2 6 10 18 66 
RULE: 5  1 2 6 10 18 68 
RULE: 4  1 2 6 10 22 
RULE: 4  1 2 6 10 24 
RULE: 4  1 2 6 10 96 
RULE: 3  1 2 6 12 
RULE: 4  1 2 6 12 28 
RULE: 4  1 2 6 12 34 
RULE: 4  1 2 6 12 36 
RULE: 4  1 2 6 12 48 
RULE: 3  1 2 6 14 
RULE: 4  1 2 6 14 22 
RULE: 4  1 2 6 14 24 
RULE: 4  1 2 6 14 28 
RULE: 4  1 2 6 14 32 
RULE: 4  1 2 6 14 34 
RULE: 4  1 2 6 14 78 
RULE: 4  1 2 6 14 80 
RULE: 4  1 2 6 14 82 
RULE: 3  1 2 6 24 
RULE: 4  1 2 6 24 36 
RULE: 4  1 2 6 24 40 
RULE: 4  1 2 6 24 44 
RULE: 3  1 2 6 26 
RULE: 3  1 2 6 44 
RULE: 3  1 2 6 46 
RULE: 3  1 2 6 48 
RULE: 3  1 2 6 54 
RULE: 3  1 2 6 56 
RULE: 3  1 2 6 66 
RULE: 3  1 2 6 78 
RULE: 2  1 2 8 
RULE: 3  1 2 8 20 
RULE: 3  1 2 8 22 
RULE: 3  1 2 8 26 
RULE: 3  1 2 8 74 
RULE: 3  1 2 8 84 
RULE: 3  1 2 8 86 
RULE: 2  1 2 10 
RULE: 3  1 2 10 20 
RULE: 3  1 2 10 22 
RULE: 3  1 2 10 26 
RULE: 3  1 2 10 72 
RULE: 3  1 2 10 74 
RULE: 3  1 2 10 92 
RULE: 2  1 2 18 
RULE: 3  1 2 18 28 
RULE: 3  1 2 18 30 
RULE: 3  1 2 18 34 
RULE: 3  1 2 18 96 
RULE: 2  1 2 20 
RULE: 2  1 2 22 
RULE: 2  1 2 24 
RULE: 2  1 2 26 
RULE: 2  1 2 28 
RULE: 3  1 2 28 46 
RULE: 2  1 2 38 
RULE: 2  1 2 40 
RULE: 2  1 2 42 
RULE: 2  1 2 44 
RULE: 2  1 2 46 
RULE: 2  1 2 48 
RULE: 2  1 2 50 
RULE: 2  1 2 64 
RULE: 2  1 2 66 
RULE: 2  1 2 68 
RULE: 2  1 2 70 
RULE: 2  1 2 72 
RULE: 2  1 2 74 
RULE: 2  1 2 76 
RULE: 2  1 2 78 
RULE: 2  1 2 80 
RULE: 2  1 2 98 
RULE: 2  1 2 100 
RULE: 1  1 4 
RULE: 2  1 4 8 
RULE: 3  1 4 8 14 
