-----------------------------------------
Search for recursive extensions of: P1
Maximal allowed extension order p: 100
Maximal allowed recursion depth: 6
-----------------------------------------
RULE: 0  1
RULE: 1  1 3 
RULE: 2  1 3 5 
RULE: 3  1 3 5 8 
RULE: 4  1 3 5 8 32 
RULE: 4  1 3 5 8 33 
RULE: 3  1 3 5 9 
RULE: 3  1 3 5 10 
RULE: 3  1 3 5 11 
RULE: 3  1 3 5 12 
RULE: 4  1 3 5 12 24 
RULE: 4  1 3 5 12 25 
RULE: 4  1 3 5 12 26 
RULE: 3  1 3 5 23 
RULE: 3  1 3 5 24 
RULE: 3  1 3 5 25 
RULE: 3  1 3 5 28 
RULE: 3  1 3 5 29 
RULE: 3  1 3 5 45 
RULE: 3  1 3 5 46 
RULE: 3  1 3 5 47 
RULE: 3  1 3 5 69 
RULE: 3  1 3 5 70 
RULE: 3  1 3 5 80 
RULE: 2  1 3 6 
RULE: 3  1 3 6 43 
RULE: 3  1 3 6 91 
RULE: 3  1 3 6 92 
RULE: 3  1 3 6 93 
RULE: 2  1 3 7 
RULE: 3  1 3 7 90 
RULE: 3  1 3 7 91 
RULE: 2  1 3 8 
RULE: 3  1 3 8 89 
RULE: 3  1 3 8 90 
RULE: 2  1 3 10 
RULE: 2  1 3 11 
RULE: 2  1 3 17 
RULE: 2  1 3 18 
RULE: 2  1 3 19 
RULE: 2  1 3 20 
RULE: 2  1 3 21 
RULE: 2  1 3 22 
RULE: 2  1 3 51 
RULE: 2  1 3 52 
RULE: 2  1 3 53 
RULE: 2  1 3 54 
RULE: 2  1 3 59 
RULE: 2  1 3 60 
RULE: 2  1 3 61 
RULE: 2  1 3 62 
RULE: 2  1 3 63 
RULE: 2  1 3 78 
RULE: 2  1 3 79 
RULE: 2  1 3 80 
RULE: 2  1 3 81 
RULE: 2  1 3 82 
RULE: 2  1 3 83 
RULE: 2  1 3 88 
RULE: 2  1 3 89 
RULE: 2  1 3 90 
RULE: 2  1 3 91 
RULE: 2  1 3 92 
RULE: 2  1 3 93 
RULE: 1  1 4 
RULE: 2  1 4 10 
RULE: 2  1 4 21 
RULE: 2  1 4 22 
RULE: 2  1 4 26 
RULE: 2  1 4 31 
RULE: 2  1 4 32 
RULE: 2  1 4 33 
RULE: 2  1 4 34 
RULE: 2  1 4 72 
RULE: 2  1 4 89 
RULE: 2  1 4 90 
RULE: 2  1 4 91 
RULE: 2  1 4 92 
RULE: 2  1 4 93 
RULE: 2  1 4 94 
RULE: 1  1 5 
RULE: 2  1 5 11 
RULE: 3  1 5 11 68 
RULE: 2  1 5 14 
RULE: 2  1 5 15 
RULE: 2  1 5 21 
RULE: 2  1 5 34 
RULE: 2  1 5 35 
RULE: 2  1 5 36 
RULE: 2  1 5 39 
RULE: 2  1 5 45 
RULE: 2  1 5 77 
RULE: 2  1 5 78 
RULE: 2  1 5 79 
RULE: 2  1 5 80 
RULE: 2  1 5 81 
RULE: 1  1 6 
RULE: 2  1 6 12 
RULE: 2  1 6 13 
RULE: 2  1 6 15 
RULE: 2  1 6 52 
RULE: 2  1 6 82 
RULE: 2  1 6 83 
RULE: 2  1 6 84 
RULE: 2  1 6 85 
RULE: 1  1 7 
RULE: 2  1 7 12 
RULE: 2  1 7 47 
RULE: 2  1 7 83 
RULE: 2  1 7 84 
RULE: 2  1 7 85 
RULE: 1  1 12 
RULE: 2  1 12 20 
RULE: 2  1 12 21 
RULE: 1  1 13 
RULE: 1  1 14 
RULE: 1  1 15 
RULE: 1  1 16 
RULE: 1  1 17 
RULE: 1  1 18 
RULE: 1  1 25 
RULE: 1  1 26 
RULE: 1  1 27 
RULE: 1  1 28 
RULE: 1  1 29 
RULE: 1  1 30 
RULE: 1  1 31 
RULE: 1  1 32 
RULE: 1  1 33 
RULE: 1  1 34 
RULE: 1  1 44 
RULE: 1  1 45 
RULE: 1  1 46 
RULE: 1  1 47 
RULE: 1  1 48 
RULE: 1  1 49 
RULE: 1  1 50 
RULE: 1  1 51 
RULE: 1  1 52 
RULE: 1  1 53 
RULE: 1  1 54 
RULE: 1  1 55 
RULE: 1  1 67 
RULE: 1  1 68 
RULE: 1  1 69 
RULE: 1  1 70 
RULE: 1  1 71 
RULE: 1  1 72 
RULE: 1  1 73 
RULE: 1  1 74 
RULE: 1  1 75 
RULE: 1  1 76 
RULE: 1  1 77 
RULE: 1  1 78 
RULE: 1  1 79 
RULE: 1  1 80 
RULE: 1  1 81 
RULE: 1  1 96 
RULE: 1  1 97 
RULE: 1  1 98 
RULE: 1  1 99 
RULE: 1  1 100 
