-----------------------------------------
Search for recursive extensions of: P5
Maximal allowed extension order p: 50
Maximal allowed recursion depth: 5
-----------------------------------------
RULE: 0  5
RULE: 1  5 6 
RULE: 2  5 6 12 
RULE: 3  5 6 12 24 
RULE: 4  5 6 12 24 46 
RULE: 4  5 6 12 24 48 
RULE: 3  5 6 12 46 
RULE: 2  5 6 22 
RULE: 3  5 6 22 34 
RULE: 2  5 6 34 
RULE: 3  5 6 34 46 
RULE: 2  5 6 46 
RULE: 1  5 12 
RULE: 2  5 12 16 
RULE: 2  5 12 18 
RULE: 3  5 12 18 32 
RULE: 2  5 12 34 
RULE: 2  5 12 36 
RULE: 3  5 12 36 50 
RULE: 2  5 12 38 
RULE: 3  5 12 38 50 
RULE: 2  5 12 50 
RULE: 1  5 16 
RULE: 2  5 16 22 
RULE: 3  5 16 22 44 
RULE: 2  5 16 44 
RULE: 1  5 22 
RULE: 2  5 22 28 
RULE: 1  5 28 
RULE: 2  5 28 34 
RULE: 1  5 34 
RULE: 2  5 34 40 
RULE: 1  5 44 
RULE: 2  5 44 50 
RULE: 1  5 46 
RULE: 2  5 46 50 
RULE: 1  5 50 
